comment,category,score
"that looks like the 7th & oak mural, right?",location/geoinformation,7
omg u filmed right by city library lol,location/geoinformation,6
saw that sign in my hood yesterday 😂,location/geoinformation,6
walk past here every morning on my way to class,routines,7
damn this my bus stop too 😅,location/geoinformation,7
isn't that Lacey's Mall food court?,location/geoinformation,5
yo that's def union square in the bg,location/geoinformation,6
used to live 2 blocks from this spot 😭,location/geoinformation,7
"green bench by the plaza, classic",location/geoinformation,5
wait is this the new skatepark on Westside?,location/geoinformation,5
my daily walk goes right past there,routines,7
refill my water there after my run lmao,routines,6
"rexall's pharmacy in the corner, recognize it anywhere",location/geoinformation,5
bro we always hoop on this court too,routines,6
"solid playground, my old afterschool spot",location/geoinformation,6
i get off at this station every day,routines,8
"lol my street, literally see my bike rack",location/geoinformation,9
seen this mural while waiting for my rideshare,location/geoinformation,5
apartment w/ the red door right,location/geoinformation,7
"can't believe u at pine&4th, memories",location/geoinformation,6
literally in my backyard lmaoo,location/geoinformation,8
this park is where I walk my dog every morning,routines,8
whoa u showing off elm st again,location/geoinformation,6
dude i go running past this bridge daily,routines,7
my old flat used to face this street,location/geoinformation,6
recognize that pizza spot anywhere,location/geoinformation,5
yo we hit up this spot on friday nights too,routines,7
i chill at that bus stop after practice,routines,8
haha my school’s right round that corner,location/geoinformation,8
is that the laundromat on glen ave?,location/geoinformation,6
was just there yesterday lol,location/geoinformation,5
my friend lives on that block,location/geoinformation,5
bumped into u there once,location/geoinformation,4
passed that statue during my jog today,routines,6
same route home from work every day,routines,7
literally where i eat lunch after chem,routines,6
isn’t this next to king’s cafe?,location/geoinformation,5
always see that mural after the gym,routines,5
this ur go to ice cream spot too?,location/geoinformation,5
just left this park 10 mins ago,location/geoinformation,6
that’s the playground behind my apt building,location/geoinformation,8
crossed here every day in high school,routines,8
yo my walk home looks exactly like this,routines,7
exactly where I used to catch the bus,routines,7
dog park crew at it again,routines,5
bus 19 memories lol,routines,7
main st post office in the bg,location/geoinformation,5
hit walmart here every sunday,routines,6
kinda wild i used to work next door,location/geoinformation,6
always buy my snacks here after school,routines,6
friday routine after school snack run 😆,routines,5
isn’t that the corner store near the BART?,location/geoinformation,6
just moved to this street,location/geoinformation,6
my shortcut to class lmao,routines,6
live 2 mins from that zebra crossing,location/geoinformation,7
go to this bakery all the time,routines,5
favorite part of my walk home,routines,6
grab breakfast at this spot daily,routines,7
"cafe on linden’s the best, facts",location/geoinformation,6
park where I play basketball every sunday,routines,7
