comment,category,score,location/geoinformation,routines,contactinfo
"that looks like the 7th & oak mural, right?",location/geoinformation,7,1,0,0
omg u filmed right by city library lol,location/geoinformation,6,1,0,0
saw that sign in my hood yesterday 😂,location/geoinformation,6,1,0,0
walk past here every morning on my way to class,routines,7,0,1,0
damn this my bus stop too 😅,location/geoinformation,7,1,0,0
isn't that Lacey's Mall food court?,location/geoinformation,5,1,0,0
yo that's def union square in the bg,location/geoinformation,6,1,0,0
used to live 2 blocks from this spot 😭,location/geoinformation,7,1,0,0
"green bench by the plaza, classic",location/geoinformation,5,1,0,0
wait is this the new skatepark on Westside?,location/geoinformation,5,1,0,0
my daily walk goes right past there,routines,7,0,1,0
refill my water there after my run lmao,routines,6,0,1,0
"rexall's pharmacy in the corner, recognize it anywhere",location/geoinformation,5,1,0,0
bro we always hoop on this court too,routines,6,0,1,0
"solid playground, my old afterschool spot",location/geoinformation,6,1,0,0
i get off at this station every day,routines,8,0,1,0
"lol my street, literally see my bike rack",location/geoinformation,9,1,0,0
seen this mural while waiting for my rideshare,location/geoinformation,5,1,0,0
apartment w/ the red door right,location/geoinformation,7,1,0,0
"can't believe u at pine&4th, memories",location/geoinformation,6,1,0,0
literally in my backyard lmaoo,location/geoinformation,8,1,0,0
this park is where I walk my dog every morning,routines,8,0,1,0
whoa u showing off elm st again,location/geoinformation,6,1,0,0
dude i go running past this bridge daily,routines,7,0,1,0
my old flat used to face this street,location/geoinformation,6,1,0,0
recognize that pizza spot anywhere,location/geoinformation,5,1,0,0
yo we hit up this spot on friday nights too,routines,7,0,1,0
i chill at that bus stop after practice,routines,8,0,1,0
haha my school’s right round that corner,location/geoinformation,8,1,0,0
is that the laundromat on glen ave?,location/geoinformation,6,1,0,0
was just there yesterday lol,location/geoinformation,5,1,0,0
my friend lives on that block,location/geoinformation,5,1,0,0
bumped into u there once,location/geoinformation,4,1,0,0
passed that statue during my jog today,routines,6,0,1,0
same route home from work every day,routines,7,0,1,0
literally where i eat lunch after chem,routines,6,0,1,0
isn’t this next to king’s cafe?,location/geoinformation,5,1,0,0
always see that mural after the gym,routines,5,0,1,0
this ur go to ice cream spot too?,location/geoinformation,5,1,0,0
just left this park 10 mins ago,location/geoinformation,6,1,0,0
that’s the playground behind my apt building,location/geoinformation,8,1,0,0
crossed here every day in high school,routines,8,0,1,0
yo my walk home looks exactly like this,routines,7,0,1,0
exactly where I used to catch the bus,routines,7,0,1,0
dog park crew at it again,routines,5,0,1,0
bus 19 memories lol,routines,7,0,1,0
main st post office in the bg,location/geoinformation,5,1,0,0
hit walmart here every sunday,routines,6,0,1,0
kinda wild i used to work next door,location/geoinformation,6,1,0,0
always buy my snacks here after school,routines,6,0,1,0
friday routine after school snack run 😆,routines,5,0,1,0
isn’t that the corner store near the BART?,location/geoinformation,6,1,0,0
just moved to this street,location/geoinformation,6,1,0,0
my shortcut to class lmao,routines,6,0,1,0
live 2 mins from that zebra crossing,location/geoinformation,7,1,0,0
go to this bakery all the time,routines,5,0,1,0
favorite part of my walk home,routines,6,0,1,0
grab breakfast at this spot daily,routines,7,0,1,0
"cafe on linden’s the best, facts",location/geoinformation,6,1,0,0
park where I play basketball every sunday,routines,7,0,1,0
my block always looks like that in the fall,location/geoinformation,5,1,0,0
always waiting for bus 12 right here,routines,8,0,1,0
driven past that gas station a million times,routines,5,0,1,0
apartment complex across from this pool,location/geoinformation,7,1,0,0
lol my mom’s car in the background,location/geoinformation,7,1,0,0
can't believe you’re at my bus stop,location/geoinformation,8,1,0,0
know this hill from the school track team days,location/geoinformation,7,1,0,0
gonna be late again if i hit that traffic,routines,6,0,1,0
used to park my bike at this rack,routines,7,0,1,0
sat at this table every lunch last year,routines,8,0,1,0
subway on main’s my daily stop,routines,7,0,1,0
only take this street during night shifts,routines,8,0,1,0
just realized my gym is nextdoor,location/geoinformation,6,1,0,0
work right above this pizza place,location/geoinformation,7,1,0,0
this the path i take to soccer practice,routines,7,0,1,0
always see the same barista at this spot,routines,5,0,1,0
wow I live across the street from this,location/geoinformation,9,1,0,0
seen like 5 tiktoks from this alley lol,location/geoinformation,4,1,0,0
spotted the blue awning near my school,location/geoinformation,6,1,0,0
those steps go up to my bldg,location/geoinformation,8,1,0,0
can hear the trains at night from that area,location/geoinformation,5,1,0,0
never realized you walk past my window,routines,7,0,1,0
we used to eat lunch behind this wall,routines,6,0,1,0
gate by the field where we meet up,location/geoinformation,6,1,0,0
same corner I catch the express bus,routines,7,0,1,0
tree on the left is outside my apt,location/geoinformation,8,1,0,0
bench where I chill after classes,routines,7,0,1,0
snap this pic next to hs gym,location/geoinformation,7,1,0,0
"yo, central park bridge shot",location/geoinformation,5,1,0,0
crazy to see my block here,location/geoinformation,7,1,0,0
was stuck in that intersection yesterday,location/geoinformation,5,1,0,0
just noticed this is my old street,location/geoinformation,6,1,0,0
restaurant right beneath my office,location/geoinformation,7,1,0,0
saw u at franklin diner the other day,location/geoinformation,5,1,0,0
used to walk this trail for cross country,routines,7,0,1,0
biked along this canal all summer,routines,6,0,1,0
